# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
bu jie shou le 	不潔瘦了	c=1 d=1 t=12018
bu jin 	不僅	c=4 d=1.82283 t=26951
bu jin 	不進	c=1 d=1 t=3754
bu jin qu 	不進去	c=1 d=1 t=3718
bu jing 	不經	c=1 d=1 t=21403
bu jiu 	不救	c=1 d=1 t=19418
bu jiu 	補救	c=1 d=1 t=19417
bu jiu shi 	不就是	c=4 d=1 t=28810
bu jiu xing le 	不就行了	c=1 d=1 t=19367
bu kai xin 	不开心	c=4 d=1 t=27934
bu kan hui shou 	不堪回首	c=0 d=0.1 t=5777
bu kao pu 	不靠谱	c=1 d=1 t=12059
bu ke 	不可	c=3 d=1.73224 t=16950
bu ke 	補課	c=1 d=1 t=28587
bu ke li yu 	不可理喻	c=1 d=1 t=28848
bu ke neng 	不可能	c=14 d=1.59452 t=28876
bu ke ti dai 	不可替代	c=0 d=0.1 t=16630
bu ke ti dai xing 	不可替代性	c=1 d=1 t=16631
bu ke yi 	不可以	c=2 d=1 t=27881
bu ken na gen 	不肯纳跟	c=1 d=1 t=26395
bu keng ne 	不吭呢	c=1 d=1 t=21064
bu kui 	不虧	c=1 d=1 t=15767
bu lai 	不來	c=1 d=1 t=3653
bu lei 	不累	c=0 d=0.1 t=15034
bu li jie 	不理解	c=4 d=1 t=18753
bu li wo 	不理我	c=0 d=0.1 t=12318
bu liao 	不了	c=7 d=0.873716 t=29023
bu liao jie 	不瞭解	c=3 d=2.18224 t=28849
bu lu 	不露	c=0 d=0.1 t=8567
bu lun bu lei 	不倫不類	c=1 d=1 t=19144
bu mai 	不買	c=0 d=0.1 t=20024
bu mai le 	不買了	c=1 d=1 t=20025
bu men 	部門	c=3 d=2.84754 t=15825
bu min gan 	不敏感	c=1 d=1 t=19061
bu ming que 	不明確	c=1 d=1 t=21731
bu na me 	不那麼	c=1 d=1 t=12516
bu nan 	不難	c=1 d=0.225373 t=29023
bu neng 	不能	c=57 d=1.06605 t=28881
bu neng ne ge 	不能呢個	c=1 d=1 t=12289
bu nu li 	不努力	c=1 d=1 t=6167
bu pa 	不怕	c=2 d=1.97045 t=23768
bu pai 	不拍	c=1 d=1 t=7495
bu pai chu 	不排除	c=1 d=1 t=22504
bu pei 	不配	c=1 d=1 t=27564
bu peng 	不碰	c=1 d=1 t=13761
bu pi pei 	不匹配	c=1 d=1 t=15561
bu ping 	不平	c=0 d=0.1 t=6734
bu ping hen 	不平很	c=1 d=1 t=6735
bu qi 	不氣	c=0 d=0.1 t=10980
bu qi 	不起	c=0 d=0.1 t=9710
bu qi lai 	不起來	c=0 d=0.1 t=15357
bu qia dang 	不恰當	c=1 d=1 t=14707
bu qie shi ji 	不切實際	c=3 d=1.00079 t=27965
bu qing 	不清	c=0 d=0.199501 t=777
bu qing xi 	不清晰	c=1 d=1 t=778
bu qing xi 	不清析	c=1 d=1 t=777
bu qu 	不取	c=2 d=1.00007 t=15067
bu quan 	补全	c=2 d=1 t=16128
bu que ding 	不確定	c=1 d=1 t=12129
bu ran 	不然	c=19 d=0.537944 t=29023
bu rang 	不讓	c=1 d=1 t=7868
bu ren ke 	不認可	c=1 d=1 t=2728
bu rong xu 	不容許	c=1 d=1 t=26173
bu rong yi 	不容易	c=1 d=1 t=19771
bu ru ren yi 	不如人意	c=1 d=1 t=6555
bu shao 	不少	c=1 d=1 t=19829
bu shao ren 	不少人	c=1 d=1 t=14767
bu she de 	不捨得	c=1 d=1 t=4164
bu shi 	不是	c=51 d=0.34137 t=29023
bu shi 	不適	c=0 d=0.1 t=4289
bu shi he 	不適合	c=1 d=1 t=9026
bu shi shuo 	不是說	c=1 d=1 t=10418
bu shi yi 	不適宜	c=1 d=1 t=4290
bu shu fu 	不舒服	c=6 d=1 t=28250
bu shuang 	不爽	c=1 d=1 t=16077
bu shui 	補水	c=1 d=1 t=13208
bu shuo 	不說	c=2 d=1 t=10328
bu shuo chu lai 	不說出來	c=1 d=1 t=18957
bu shuo hua 	不說話	c=1 d=1 t=6591
bu shuo le 	不说了	c=1 d=1 t=5777
bu si 	不思	c=0 d=0.1 t=19626
bu si kao 	不思考	c=1 d=1 t=22555
bu si luan xiang 	不思亂想	c=1 d=1 t=19627
bu suan 	不算	c=1 d=1 t=27571
bu suan 	不酸	c=0 d=0.1 t=17436
bu tai 	不太	c=12 d=1 t=22669
bu tai hao 	不太好	c=6 d=1.00001 t=25804
bu tai xi huan 	不太喜欢	c=1 d=1 t=26866
bu tan 	不談	c=1 d=1 t=8430
bu tong 	不同	c=2 d=1 t=25533
bu tong yi 	不同意	c=1 d=1 t=21166
bu tu 	不圖	c=1 d=1 t=13680
bu tui 	不退	c=1 d=1 t=19195
bu wan 	不完	c=1 d=1 t=27498
bu wei 	部位	c=1 d=1 t=3896
bu wei he 	不違和	c=1 d=1 t=12808
bu wu 	不無	c=0 d=0.1 t=28275
bu wu guan xi 	不無關係	c=1 d=1 t=28276
bu xi huan 	不喜歡	c=4 d=1.92326 t=28707
bu xi huan dong shou 	不喜歡動手	c=1 d=1 t=3560
bu xi yan 	不吸菸	c=1 d=1 t=10780
bu xian shi 	不顯示	c=1 d=1 t=8209
