# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	942
#@/user_id	4fb8f7d9-104e-4807-ad03-13bea3f26262
a 	啊	c=3 d=1.38235 t=942
rang wo 	讓我	c=1 d=0.0710054 t=942
ren 	人	c=3 d=0.330025 t=942
ren wu 	任務	c=3 d=0.320955 t=942
ri qi 	日期	c=2 d=1.97032 t=942
ru 	入	c=1 d=0.865022 t=942
ru guo 	如果	c=6 d=1.03098 t=942
ruan jian 	軟件	c=1 d=0.283654 t=942
san jiao 	三角	c=1 d=0.375311 t=942
san jiao han shu 	三角函數	c=0 d=0.0377192 t=942
sha 	啥	c=0 d=0.0941765 t=942
sha wan yi 	啥玩意	c=1 d=0.946485 t=942
shang 	上	c=-2 d=0.900325 t=942
shang jin 	上進	c=1 d=0.0968105 t=942
shang xia 	上下	c=1 d=0.88692 t=942
shao 	少	c=1 d=0.249075 t=942
shen bian 	身邊	c=1 d=0.121846 t=942
shen me 	什麼	c=2 d=0.512776 t=942
shen ti 	身體	c=1 d=0.244143 t=942
shi 	是	c=15 d=4.45514 t=942
shi hou 	時候	c=2 d=0.267052 t=942
shi jian 	時間	c=4 d=2.22786 t=942
shi ni 	是你	c=1 d=0.941765 t=942
shi qing 	事情	c=4 d=2.08405 t=942
shi yong 	適用	c=1 d=0.722527 t=942
shi zhu 	石柱	c=0 d=0.0980199 t=942
shi zi 	式子	c=1 d=0.427415 t=942
shou lian 	收斂	c=2 d=0.964406 t=942
shu lian 	熟練	c=1 d=0.0880368 t=942
shu lie 	數列	c=6 d=3.2692 t=942
shu ru fa 	輸入法	c=4 d=2.3553 t=942
shu xue 	數學	c=2 d=0.65377 t=942
shuo 	說	c=3 d=0.811388 t=942
shuo chu lai 	說出來	c=1 d=0.203926 t=942
shuo hua 	說話	c=1 d=0.856415 t=942
shuo ne 	說呢	c=0 d=0.099005 t=942
shuo ne me 	說呢麼	c=1 d=0.995012 t=942
si lu 	思路	c=2 d=0.981845 t=942
si wei 	思維	c=3 d=1.81869 t=942
si wei dao tu 	思維導圖	c=1 d=0.304221 t=942
si ze yun suan 	四則運算	c=1 d=0.410656 t=942
sou gou 	搜狗	c=1 d=0.995012 t=942
su zhi 	素質	c=1 d=0.13332 t=942
sui ran 	雖然	c=0 d=0.00930145 t=942
sui ran ji shu 	雖然技術	c=1 d=0.0934807 t=942
suo yi 	所以	c=3 d=0.700423 t=942
suo you 	所有	c=1 d=0.40657 t=942
ta 	他	c=3 d=0.599633 t=942
ta men 	他們	c=5 d=3.67265 t=942
ta men ne 	他們呢	c=1 d=0.718924 t=942
tai di 	太低	c=1 d=0.331211 t=942
tai du 	態度	c=1 d=0.0958472 t=942
tai shao le 	太少了	c=1 d=0.960789 t=942
tao lun 	討論	c=1 d=0.737123 t=942
te shu 	特殊	c=2 d=1.36434 t=942
ti gao 	提高	c=1 d=0.132655 t=942
ti sheng 	提升	c=1 d=0.612626 t=942
ti shi 	提示	c=1 d=0.856415 t=942
ti xi 	體系	c=0 d=0.0798516 t=942
tong 	同	c=0 d=0.0826959 t=942
tong hua 	同化	c=1 d=0.852144 t=942
tong hua 	通話	c=1 d=0.847894 t=942
tong jie wu qiong xiao 	同階無窮小	c=1 d=0.831104 t=942
tong yang 	同樣	c=1 d=0.718924 t=942
tu 	圖	c=0 d=0.0302704 t=942
tu zeng 	徒增	c=1 d=0.174645 t=942
tui lun 	推論	c=1 d=0.574072 t=942
tuo li 	脫離	c=1 d=0.865022 t=942
wan 	完	c=2 d=0.389234 t=942
wan 	玩	c=1 d=0.631284 t=942
wan shang 	晚上	c=2 d=0.544543 t=942
wan yi 	玩意	c=0 d=0.0941765 t=942
wei fen 	微分	c=1 d=0.985112 t=942
wei shen me 	爲什麼	c=2 d=0.567771 t=942
wei yi xing 	唯一性	c=2 d=1.03901 t=942
wen 	聞	c=1 d=0.228779 t=942
wen ben 	文本	c=3 d=2.57848 t=942
wen ti 	問題	c=1 d=0.108067 t=942
wen zi 	文字	c=1 d=0.932394 t=942
wo 	我	c=16 d=5.84835 t=942
wo wu fa 	我無法	c=1 d=0.609571 t=942
wo xiang zhi dao 	我想知道	c=1 d=0.900325 t=942
wu bi 	五筆	c=3 d=2.83237 t=942
wu dai 	五代	c=1 d=0.965605 t=942
wu fa 	無法	c=0 d=0.0606531 t=942
wu ke hou fei 	無可厚非	c=1 d=0.748264 t=942
wu lun 	無論	c=1 d=0.109154 t=942
wu qiong da 	無窮大	c=2 d=1.14484 t=942
wu qiong xiao 	無窮小	c=5 d=3.90888 t=942
wu xian 	無限	c=1 d=0.532592 t=942
xi ai 	喜愛	c=0 d=0.0197899 t=942
xi guan 	習慣	c=2 d=0.957933 t=942
xi huan 	喜歡	c=1 d=0.113608 t=942
xia 	下	c=3 d=0.874891 t=942
xia wu 	下午	c=1 d=0.25284 t=942
xian shi 	現實	c=1 d=0.136695 t=942
xian zai 	現在	c=1 d=0.182684 t=942
xiang chu 	相處	c=1 d=0.172719 t=942
xiang chu le 	相處了	c=1 d=0.467666 t=942
xiang guan 	相關	c=1 d=0.70822 t=942
xiang zhe 	想着	c=1 d=0.13068 t=942
xiang zhi dao 	想知道	c=0 d=0.0895834 t=942
xiao di 	小弟	c=1 d=0.0902655 t=942
xiao guo 	效果	c=1 d=0.965605 t=942
xiao hua 	消化	c=1 d=0.318224 t=942
xiao lang hao 	小狼毫	c=3 d=2.52355 t=942
xiao lv 	效率	c=1 d=0.329559 t=942
xie zai 	卸載	c=1 d=0.904837 t=942
xin li 	心裏	c=1 d=0.353455 t=942
xin si 	心思	c=1 d=0.726149 t=942
xing 	性	c=5 d=3.36321 t=942
xing qi 	星期	c=1 d=0.878095 t=942
xing zhi 	性質	c=4 d=2.3058 t=942
xu hao 	序號	c=1 d=0.970446 t=942
ya 	呀	c=4 d=1.84973 t=942
ya ba 	啞巴	c=1 d=0.084163 t=942
yan 	顏	c=0 d=0.097531 t=942
yan se 	顏色	c=6 d=5.15705 t=942
yan wen zi 	顏文字	c=2 d=1.9802 t=942
yao 	要	c=6 d=1.10627 t=942
yao me 	要麼	c=2 d=1.67515 t=942
ye 	也	c=1 d=0.774916 t=942
ye shi 	也是	c=1 d=0.0720785 t=942
yi dan 	一旦	c=2 d=0.836961 t=942
yi dian 	一點	c=1 d=0.235591 t=942
yi ding 	一定	c=2 d=0.290129 t=942
yi ge 	一個	c=2 d=0.96398 t=942
yi ge ren 	一個人	c=1 d=0.0977834 t=942
yi hui er 	一會兒	c=1 d=0.104874 t=942
yi ri you 	一日遊	c=1 d=0.225373 t=942
yi si 	意思	c=1 d=0.436049 t=942
yi xia 	以下	c=1 d=0.697676 t=942
yi xie 	一些	c=1 d=0.362402 t=942
yi yang 	一樣	c=1 d=0.955997 t=942
yi zhi 	一致	c=1 d=0.965605 t=942
yin wei 	因爲	c=3 d=1.41104 t=942
ying xiang 	影響	c=1 d=0.951229 t=942
you 	右	c=1 d=0.548812 t=942
you 	有	c=4 d=1.4607 t=942
you dao 	有道	c=1 d=0.88692 t=942
you ge 	有個	c=0 d=0.0941765 t=942
you ge qun 	有個羣	c=1 d=0.946485 t=942
you jie 	有界	c=2 d=1.32789 t=942
you jie xing 	有界性	c=2 d=1.48582 t=942
you mei you ren 	有沒有人	c=1 d=0.878095 t=942
you qi 	尤其	c=2 d=0.495438 t=942
you shen 	有什	c=0 d=0.00776922 t=942
you shen me 	有什麼	c=1 d=0.0780817 t=942
you xian 	有限	c=2 d=0.929204 t=942
yu 	於	c=1 d=0.726149 t=942
yu 	與	c=2 d=1.09564 t=942
yu dao 	遇到	c=1 d=0.162838 t=942
yu ren 	與人	c=1 d=0.486752 t=942
yun suan 	運算	c=2 d=1.6028 t=942
za 	咋	c=1 d=0.0939493 t=942
zai 	在	c=4 d=0.822835 t=942
zao chen 	早晨	c=1 d=0.066205 t=942
zao shang 	早上	c=1 d=0.0689068 t=942
zao xin 	糟心	c=1 d=0.373439 t=942
