# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8552
#@/user_id	Mac-squirrel
dang 	當	c=1 d=7.25261e-16 t=8552
dang wo 	當我	c=1 d=1.11472e-13 t=8552
dao 	倒	c=1 d=2.79669e-11 t=8552
dao 	刀	c=0 d=0.00495388 t=8552
dao 	到	c=14 d=0.886644 t=8552
dao 	導	c=1 d=2.78274e-11 t=8552
dao chu 	導出	c=1 d=8.69654e-05 t=8552
dao di 	到底	c=2 d=2.73443e-13 t=8552
dao ding 	到頂	c=1 d=7.5617e-07 t=8552
dao fa 	刀法	c=1 d=0.0471227 t=8552
dao ku 	導庫	c=1 d=1.49747e-15 t=8552
dao qi 	到期	c=2 d=0.000494049 t=8552
dao ru 	導入	c=2 d=0.11475 t=8552
dao shi 	倒是	c=2 d=0.463013 t=8552
dao shi hou 	到時候	c=5 d=0.000369595 t=8552
de 	地	c=1 d=0.346456 t=8552
de 	得	c=1 d=2.67964e-08 t=8552
de 	德	c=1 d=1.15982e-09 t=8552
de 	的	c=442 d=10.3708 t=8552
de dao 	得到	c=2 d=6.12835e-05 t=8552
de le 	得了	c=1 d=7.72584e-17 t=8552
de ming 	德明	c=1 d=4.25645e-11 t=8552
de neng 	的能	c=1 d=0.00900478 t=8552
de shi 	的事	c=0 d=0.000427488 t=8552
de zhi 	得知	c=1 d=0.0196437 t=8552
dei 	得	c=1 d=0.0593087 t=8552
deng 	等	c=12 d=0.110405 t=8552
deng 	鄧	c=7 d=0.00302077 t=8552
deng deng 	等等	c=3 d=0.216536 t=8552
deng hui 	登輝	c=1 d=2.95532e-13 t=8552
deng ji 	登記	c=1 d=0.000188766 t=8552
deng lao ban 	等老闆	c=1 d=1 t=8543
deng lu 	登錄	c=8 d=0.0739039 t=8552
deng xia 	等下	c=3 d=2.60673e-07 t=8552
deng yu 	等於	c=1 d=0.00161245 t=8552
deng zong 	鄧總	c=3 d=0.000452827 t=8552
di 	滴	c=1 d=0.537944 t=8552
di di 	弟弟	c=2 d=0.0111359 t=8552
di er ci 	第二次	c=1 d=0.0118551 t=8552
di er dian 	第二點	c=1 d=2.56836e-09 t=8552
di er ge 	第二個	c=1 d=0.0424257 t=8552
di er ge dian 	第二個點	c=1 d=2.43091e-09 t=8552
di er pi 	第二批	c=1 d=1.54602e-08 t=8552
di er pi ji qi 	第二批機器	c=1 d=2.06256e-17 t=8552
di fang 	地方	c=5 d=0.000846407 t=8552
di gui 	遞歸	c=2 d=1.02723e-13 t=8552
di jia 	低價	c=1 d=1.80958e-07 t=8552
di san fang 	第三方	c=1 d=8.81418e-16 t=8552
di xi 	弟媳	c=0 d=1.72696e-17 t=8552
di yi 	第一	c=1 d=2.35907e-09 t=8552
di yi ci 	第一次	c=1 d=0.0113334 t=8552
di yi ge 	第一個	c=3 d=0.388326 t=8552
di yu 	地獄	c=1 d=1.40686e-16 t=8552
di zhi 	地址	c=5 d=0.101774 t=8552
dian 	點	c=11 d=0.387805 t=8552
dian cha ju 	點差距	c=1 d=0.125556 t=8552
dian hua 	電話	c=1 d=1.4967e-09 t=8552
dian ji 	點擊	c=1 d=8.40458e-15 t=8552
dian nao 	電腦	c=1 d=9.44845e-10 t=8552
dian pu 	店鋪	c=1 d=9.83907e-16 t=8552
dian zhang 	店長	c=1 d=7.69716e-10 t=8552
diao 	掉	c=2 d=1.06487e-15 t=8552
diao 	調	c=1 d=6.86449e-16 t=8552
diao yo guan 	掉喲管	c=1 d=4.24763e-16 t=8552
diao yong 	調用	c=1 d=7.16333e-18 t=8552
diao yong zhan 	調用棧	c=1 d=4.69516e-18 t=8552
die 	跌	c=1 d=1.40567e-06 t=8552
ding 	丁	c=1 d=1.7225e-15 t=8552
ding 	定	c=2 d=0.000812837 t=8552
ding dan 	訂單	c=9 d=0.0694531 t=8552
ding dan hao 	訂單號	c=3 d=0.000314948 t=8552
ding ding 	叮叮	c=1 d=3.18441e-09 t=8552
ding duo 	定奪	c=1 d=5.73078e-10 t=8552
ding shi 	定時	c=2 d=0.00216577 t=8552
ding wei 	定位	c=9 d=0.0604421 t=8552
ding zhi 	定製	c=1 d=0.257947 t=8552
ding zhi hua 	定製化	c=1 d=0.118245 t=8552
diu qi lai 	丟起來	c=1 d=6.26833e-06 t=8552
diu shi 	丟失	c=1 d=7.10416e-08 t=8552
diu ta ma 	丟他嗎	c=1 d=6.33133e-06 t=8552
dong 	動	c=1 d=0.013912 t=8552
dong 	懂	c=3 d=0.000917699 t=8552
dong bu dong 	動不動	c=1 d=2.15169e-14 t=8552
dong jing 	動靜	c=1 d=9.75808e-07 t=8552
dong la xi che 	東拉西扯	c=1 d=0.158025 t=8552
dong le 	懂了	c=0 d=4.88677e-19 t=8552
dong ma 	懂嗎	c=1 d=0.000735471 t=8552
dong man 	動漫	c=1 d=0.913931 t=8552
dong tai 	動態	c=0 d=3.85336e-18 t=8552
dong tai gui hua 	動態規劃	c=1 d=3.87268e-17 t=8552
dong tian 	冬天	c=1 d=3.12188e-11 t=8552
dong xi 	東西	c=13 d=1.75247 t=8552
dou 	都	c=41 d=0.884532 t=8552
dou kan 	都看	c=0 d=4.59031e-18 t=8552
dou kan cheng 	都看成	c=1 d=4.61331e-17 t=8552
dou ke yi 	都可以	c=1 d=0.238115 t=8552
dou kuai 	都快	c=1 d=0.50409 t=8552
dou shi 	都是	c=14 d=1.42704 t=8552
dou yao 	都要	c=2 d=0.292293 t=8552
dou yi yang 	都一樣	c=1 d=1.62977e-11 t=8552
dou you 	都有	c=3 d=3.52331e-12 t=8552
du de 	讀得	c=1 d=0.00177315 t=8552
du qu 	讀取	c=1 d=7.8188e-18 t=8552
du shu ren 	讀書人	c=0 d=0.000427488 t=8552
du shu ren de shi 	讀書人的事	c=1 d=0.0042963 t=8552
duan 	段	c=2 d=2.64019e-10 t=8552
duan dian 	斷點	c=1 d=4.33418e-18 t=8552
duan kai 	斷開	c=1 d=0.0682212 t=8552
duan kou 	端口	c=8 d=1.00321 t=8552
duan le 	斷了	c=1 d=0.506617 t=8552
duan xin 	短信	c=2 d=7.13863e-16 t=8552
duan yan 	斷言	c=2 d=7.05168e-09 t=8552
dui 	對	c=4 d=0.103313 t=8552
dui huan 	兌換	c=2 d=5.16629e-14 t=8552
dui jie 	對接	c=1 d=5.2411e-18 t=8552
dui jin 	對勁	c=1 d=6.21019e-14 t=8552
dui mian 	對面	c=2 d=8.8626e-14 t=8552
dui xiang 	對象	c=3 d=0.0688652 t=8552
dui ying 	對應	c=1 d=5.11083e-16 t=8552
dui yu 	對於	c=2 d=0.00408677 t=8552
dui zhe ge 	對這個	c=1 d=2.0016e-17 t=8552
dun 	盾	c=1 d=0.0804596 t=8552
duo 	多	c=5 d=0.491644 t=8552
duo bao 	多寶	c=0 d=2.1717e-07 t=8552
duo da 	多大	c=0 d=4.2682e-15 t=8552
duo duo 	多多	c=0 d=3.3396e-11 t=8552
duo duo bao han 	多多包涵	c=1 d=3.35634e-10 t=8552
duo jiu 	多久	c=3 d=1.48156e-07 t=8552
duo le 	多了	c=3 d=0.000269215 t=8552
duo me 	多麼	c=1 d=8.59802e-18 t=8552
duo nian 	多年	c=1 d=1.25924e-06 t=8552
